"Name","Miles_per_Gallon","Cylinders","Displacement","Horsepower","Weight_in_lbs","Acceleration","Year","Origin"
"buick lesabre custom",13.0,8,350.0,155,4502,13.5,"1972-01-01","USA"
"oldsmobile delta 88 royale",12.0,8,350.0,160,4456,13.5,"1972-01-01","USA"
"chrysler newport royal",13.0,8,400.0,190,4422,12.5,"1972-01-01","USA"
"amc matador (sw)",15.0,8,304.0,150,3892,12.5,"1972-01-01","USA"
"chevrolet chevelle concours (sw)",13.0,8,307.0,130,4098,14.0,"1972-01-01","USA"
"ford gran torino (sw)",13.0,8,302.0,140,4294,16.0,"1972-01-01","USA"
"plymouth satellite custom (sw)",14.0,8,318.0,150,4077,14.0,"1972-01-01","USA"
"ford pinto (sw)",22.0,4,122.0,86,2395,16.0,"1972-01-01","USA"
"dodge colt (sw)",28.0,4,98.0,80,2164,15.0,"1972-01-01","USA"
"buick century 350",13.0,8,350.0,175,4100,13.0,"1973-01-01","USA"
"amc matador",14.0,8,304.0,150,3672,11.5,"1973-01-01","USA"
"chevrolet malibu",13.0,8,350.0,145,3988,13.0,"1973-01-01","USA"
"ford gran torino",14.0,8,302.0,137,4042,14.5,"1973-01-01","USA"
"dodge coronet custom",15.0,8,318.0,150,3777,12.5,"1973-01-01","USA"
"mercury marquis brougham",12.0,8,429.0,198,4952,11.5,"1973-01-01","USA"
"chevrolet caprice classic",13.0,8,400.0,150,4464,12.0,"1973-01-01","USA"
"ford ltd",13.0,8,351.0,158,4363,13.0,"1973-01-01","USA"
"plymouth fury gran sedan",14.0,8,318.0,150,4237,14.5,"1973-01-01","USA"
"chrysler new yorker brougham",13.0,8,440.0,215,4735,11.0,"1973-01-01","USA"
"buick electra 225 custom",12.0,8,455.0,225,4951,11.0,"1973-01-01","USA"
"amc ambassador brougham",13.0,8,360.0,175,3821,11.0,"1973-01-01","USA"
"plymouth valiant",18.0,6,225.0,105,3121,16.5,"1973-01-01","USA"
"chevrolet nova custom",16.0,6,250.0,100,3278,18.0,"1973-01-01","USA"
"amc hornet",18.0,6,232.0,100,2945,16.0,"1973-01-01","USA"
"ford maverick",18.0,6,250.0,88,3021,16.5,"1973-01-01","USA"
"plymouth duster",23.0,6,198.0,95,2904,16.0,"1973-01-01","USA"
"chevrolet impala",11.0,8,400.0,150,4997,14.0,"1973-01-01","USA"
"ford country",12.0,8,400.0,167,4906,12.5,"1973-01-01","USA"
"plymouth custom suburb",13.0,8,360.0,170,4654,13.0,"1973-01-01","USA"
"oldsmobile vista cruiser",12.0,8,350.0,180,4499,12.5,"1973-01-01","USA"
"amc gremlin",18.0,6,232.0,100,2789,15.0,"1973-01-01","USA"
"chevrolet vega",21.0,4,140.0,72,2401,19.5,"1973-01-01","USA"
"ford pinto",19.0,4,122.0,85,2310,18.5,"1973-01-01","USA"
"mercury capri v6",21.0,6,155.0,107,2472,14.0,"1973-01-01","USA"
"chevrolet monte carlo s",15.0,8,350.0,145,4082,13.0,"1973-01-01","USA"
"pontiac grand prix",16.0,8,400.0,230,4278,9.5,"1973-01-01","USA"
"dodge dart custom",15.0,8,318.0,150,3399,11.0,"1973-01-01","USA"
"oldsmobile omega",11.0,8,350.0,180,3664,11.0,"1973-01-01","USA"
"plymouth duster",20.0,6,198.0,95,3102,16.5,"1974-01-01","USA"
"ford maverick",21.0,6,200.0,NA,2875,17.0,"1974-01-01","USA"
"amc hornet",19.0,6,232.0,100,2901,16.0,"1974-01-01","USA"
"chevrolet nova",15.0,6,250.0,100,3336,17.0,"1974-01-01","USA"
"ford pinto",26.0,4,122.0,80,2451,16.5,"1974-01-01","USA"
"chevrolet vega",25.0,4,140.0,75,2542,17.0,"1974-01-01","USA"
"chevrolet chevelle malibu classic",16.0,6,250.0,100,3781,17.0,"1974-01-01","USA"
"amc matador",16.0,6,258.0,110,3632,18.0,"1974-01-01","USA"
"plymouth satellite sebring",18.0,6,225.0,105,3613,16.5,"1974-01-01","USA"
"ford gran torino",16.0,8,302.0,140,4141,14.0,"1974-01-01","USA"
"buick century luxus (sw)",13.0,8,350.0,150,4699,14.5,"1974-01-01","USA"
"dodge coronet custom (sw)",14.0,8,318.0,150,4457,13.5,"1974-01-01","USA"
"ford gran torino (sw)",14.0,8,302.0,140,4638,16.0,"1974-01-01","USA"
"amc matador (sw)",14.0,8,304.0,150,4257,15.5,"1974-01-01","USA"
"dodge colt",28.0,4,90.0,75,2125,14.5,"1974-01-01","USA"
"plymouth valiant custom",19.0,6,225.0,95,3264,16.0,"1975-01-01","USA"
"chevrolet nova",18.0,6,250.0,105,3459,16.0,"1975-01-01","USA"
"mercury monarch",15.0,6,250.0,72,3432,21.0,"1975-01-01","USA"
"ford maverick",15.0,6,250.0,72,3158,19.5,"1975-01-01","USA"
"pontiac catalina",16.0,8,400.0,170,4668,11.5,"1975-01-01","USA"
"chevrolet bel air",15.0,8,350.0,145,4440,14.0,"1975-01-01","USA"
"plymouth grand fury",16.0,8,318.0,150,4498,14.5,"1975-01-01","USA"
"ford ltd",14.0,8,351.0,148,4657,13.5,"1975-01-01","USA"
"buick century",17.0,6,231.0,110,3907,21.0,"1975-01-01","USA"
"chevroelt chevelle malibu",16.0,6,250.0,105,3897,18.5,"1975-01-01","USA"
"amc matador",15.0,6,258.0,110,3730,19.0,"1975-01-01","USA"
"plymouth fury",18.0,6,225.0,95,3785,19.0,"1975-01-01","USA"
"buick skyhawk",21.0,6,231.0,110,3039,15.0,"1975-01-01","USA"
"chevrolet monza 2+2",20.0,8,262.0,110,3221,13.5,"1975-01-01","USA"
"ford mustang ii",13.0,8,302.0,129,3169,12.0,"1975-01-01","USA"
"ford pinto",23.0,4,140.0,83,2639,17.0,"1975-01-01","USA"
"amc gremlin",20.0,6,232.0,100,2914,16.0,"1975-01-01","USA"
"pontiac astro",23.0,4,140.0,78,2592,18.5,"1975-01-01","USA"
"ford pinto",18.0,6,171.0,97,2984,14.5,"1975-01-01","USA"
"amc pacer",19.0,6,232.0,90,3211,17.0,"1975-01-01","USA"
"capri ii",25.0,4,140.0,92,2572,14.9,"1976-01-01","USA"
"dodge colt",26.0,4,98.0,79,2255,17.7,"1976-01-01","USA"
"chevrolet chevelle malibu classic",17.5,8,305.0,140,4215,13.0,"1976-01-01","USA"
"dodge coronet brougham",16.0,8,318.0,150,4190,13.0,"1976-01-01","USA"
"amc matador",15.5,8,304.0,120,3962,13.9,"1976-01-01","USA"
"ford gran torino",14.5,8,351.0,152,4215,12.8,"1976-01-01","USA"
"plymouth valiant",22.0,6,225.0,100,3233,15.4,"1976-01-01","USA"
"chevrolet nova",22.0,6,250.0,105,3353,14.5,"1976-01-01","USA"
"ford maverick",24.0,6,200.0,81,3012,17.6,"1976-01-01","USA"
"amc hornet",22.5,6,232.0,90,3085,17.6,"1976-01-01","USA"
"chevrolet chevette",29.0,4,85.0,52,2035,22.2,"1976-01-01","USA"
"chevrolet woody",24.5,4,98.0,60,2164,22.1,"1976-01-01","USA"
"dodge aspen se",20.0,6,225.0,100,3651,17.7,"1976-01-01","USA"
"ford granada ghia",18.0,6,250.0,78,3574,21.0,"1976-01-01","USA"
"pontiac ventura sj",18.5,6,250.0,110,3645,16.2,"1976-01-01","USA"
"amc pacer d/l",17.5,6,258.0,95,3193,17.8,"1976-01-01","USA"
"ford pinto",26.5,4,140.0,72,2565,13.6,"1976-01-01","USA"
"plymouth volare premier v8",13.0,8,318.0,150,3940,13.2,"1976-01-01","USA"
"cadillac seville",16.5,8,350.0,180,4380,12.1,"1976-01-01","USA"
"chevy c10",13.0,8,350.0,145,4055,12.0,"1976-01-01","USA"
"ford f108",13.0,8,302.0,130,3870,15.0,"1976-01-01","USA"
"dodge d100",13.0,8,318.0,150,3755,14.0,"1976-01-01","USA"
"buick opel isuzu deluxe",30.0,4,111.0,80,2155,14.8,"1977-01-01","USA"
"plymouth arrow gs",25.5,4,122.0,96,2300,15.5,"1977-01-01","USA"
"chevrolet caprice classic",17.5,8,305.0,145,3880,12.5,"1977-01-01","USA"
"oldsmobile cutlass supreme",17.0,8,260.0,110,4060,19.0,"1977-01-01","USA"
"dodge monaco brougham",15.5,8,318.0,145,4140,13.7,"1977-01-01","USA"
"mercury cougar brougham",15.0,8,302.0,130,4295,14.9,"1977-01-01","USA"
"chevrolet concours",17.5,6,250.0,110,3520,16.4,"1977-01-01","USA"
"buick skylark",20.5,6,231.0,105,3425,16.9,"1977-01-01","USA"
"plymouth volare custom",19.0,6,225.0,100,3630,17.7,"1977-01-01","USA"
"ford granada",18.5,6,250.0,98,3525,19.0,"1977-01-01","USA"
"pontiac grand prix lj",16.0,8,400.0,180,4220,11.1,"1977-01-01","USA"
"chevrolet monte carlo landau",15.5,8,350.0,170,4165,11.4,"1977-01-01","USA"
"chrysler cordoba",15.5,8,400.0,190,4325,12.2,"1977-01-01","USA"
"ford thunderbird",16.0,8,351.0,149,4335,14.5,"1977-01-01","USA"
"pontiac sunbird coupe",24.5,4,151.0,88,2740,16.0,"1977-01-01","USA"
"ford mustang ii 2+2",25.5,4,140.0,89,2755,15.8,"1977-01-01","USA"
"chevrolet chevette",30.5,4,98.0,63,2051,17.0,"1977-01-01","USA"
"dodge colt m/m",33.5,4,98.0,83,2075,15.9,"1977-01-01","USA"
"ford fiesta",36.1,4,98.0,66,1800,14.4,"1978-01-01","USA"
"oldsmobile cutlass salon brougham",19.9,8,260.0,110,3365,15.5,"1978-01-01","USA"
"dodge diplomat",19.4,8,318.0,140,3735,13.2,"1978-01-01","USA"
"mercury monarch ghia",20.2,8,302.0,139,3570,12.8,"1978-01-01","USA"
"pontiac phoenix lj",19.2,6,231.0,105,3535,19.2,"1978-01-01","USA"
"chevrolet malibu",20.5,6,200.0,95,3155,18.2,"1978-01-01","USA"
"ford fairmont (auto)",20.2,6,200.0,85,2965,15.8,"1978-01-01","USA"
"ford fairmont (man)",25.1,4,140.0,88,2720,15.4,"1978-01-01","USA"
"plymouth volare",20.5,6,225.0,100,3430,17.2,"1978-01-01","USA"
"amc concord",19.4,6,232.0,90,3210,17.2,"1978-01-01","USA"
"buick century special",20.6,6,231.0,105,3380,15.8,"1978-01-01","USA"
"mercury zephyr",20.8,6,200.0,85,3070,16.7,"1978-01-01","USA"
"dodge aspen",18.6,6,225.0,110,3620,18.7,"1978-01-01","USA"
"amc concord d/l",18.1,6,258.0,120,3410,15.1,"1978-01-01","USA"
"chevrolet monte carlo landau",19.2,8,305.0,145,3425,13.2,"1978-01-01","USA"
"buick regal sport coupe (turbo)",17.7,6,231.0,165,3445,13.4,"1978-01-01","USA"
"ford futura",18.1,8,302.0,139,3205,11.2,"1978-01-01","USA"
"dodge magnum xe",17.5,8,318.0,140,4080,13.7,"1978-01-01","USA"
"chevrolet chevette",30.0,4,98.0,68,2155,16.5,"1978-01-01","USA"
"dodge omni",30.9,4,105.0,75,2230,14.5,"1978-01-01","USA"
"plymouth sapporo",23.2,4,156.0,105,2745,16.7,"1978-01-01","USA"
"oldsmobile starfire sx",23.8,4,151.0,85,2855,17.6,"1978-01-01","USA"
"pontiac lemans v6",21.5,6,231.0,115,3245,15.4,"1979-01-01","USA"
"mercury zephyr 6",19.8,6,200.0,85,2990,18.2,"1979-01-01","USA"
"ford fairmont 4",22.3,4,140.0,88,2890,17.3,"1979-01-01","USA"
"amc concord dl 6",20.2,6,232.0,90,3265,18.2,"1979-01-01","USA"
"dodge aspen 6",20.6,6,225.0,110,3360,16.6,"1979-01-01","USA"
"chevrolet caprice classic",17.0,8,305.0,130,3840,15.4,"1979-01-01","USA"
"ford ltd landau",17.6,8,302.0,129,3725,13.4,"1979-01-01","USA"
"mercury grand marquis",16.5,8,351.0,138,3955,13.2,"1979-01-01","USA"
"dodge st. regis",18.2,8,318.0,135,3830,15.2,"1979-01-01","USA"
"buick estate wagon (sw)",16.9,8,350.0,155,4360,14.9,"1979-01-01","USA"
"ford country squire (sw)",15.5,8,351.0,142,4054,14.3,"1979-01-01","USA"
"chevrolet malibu classic (sw)",19.2,8,267.0,125,3605,15.0,"1979-01-01","USA"
"chrysler lebaron town @ country (sw)",18.5,8,360.0,150,3940,13.0,"1979-01-01","USA"
"dodge colt hatchback custom",35.7,4,98.0,80,1915,14.4,"1979-01-01","USA"
"amc spirit dl",27.4,4,121.0,80,2670,15.0,"1979-01-01","USA"
"cadillac eldorado",23.0,8,350.0,125,3900,17.4,"1979-01-01","USA"
"oldsmobile cutlass salon brougham",23.9,8,260.0,90,3420,22.2,"1979-01-01","USA"
"plymouth horizon",34.2,4,105.0,70,2200,13.2,"1979-01-01","USA"
"plymouth horizon tc3",34.5,4,105.0,70,2150,14.9,"1979-01-01","USA"
"buick skylark limited",28.4,4,151.0,90,2670,16.0,"1979-01-01","USA"
"chevrolet citation",28.8,6,173.0,115,2595,11.3,"1979-01-01","USA"
"oldsmobile omega brougham",26.8,6,173.0,115,2700,12.9,"1979-01-01","USA"
"pontiac phoenix",33.5,4,151.0,90,2556,13.2,"1979-01-01","USA"
"chevrolet chevette",32.1,4,98.0,70,2120,15.5,"1980-01-01","USA"
"chevrolet citation",28.0,4,151.0,90,2678,16.5,"1980-01-01","USA"
"ford fairmont",26.4,4,140.0,88,2870,18.1,"1980-01-01","USA"
"amc concord",24.3,4,151.0,90,3003,20.1,"1980-01-01","USA"
"dodge aspen",19.1,6,225.0,90,3381,18.7,"1980-01-01","USA"
"dodge colt",27.9,4,156.0,105,2800,14.4,"1980-01-01","USA"
"ford mustang cobra",23.6,4,140.0,NA,2905,14.3,"1980-01-01","USA"
"plymouth reliant",27.2,4,135.0,84,2490,15.7,"1982-01-01","USA"
"buick skylark",26.6,4,151.0,84,2635,16.4,"1982-01-01","USA"
"dodge aries wagon (sw)",25.8,4,156.0,92,2620,14.4,"1982-01-01","USA"
"chevrolet citation",23.5,6,173.0,110,2725,12.6,"1982-01-01","USA"
"plymouth reliant",30.0,4,135.0,84,2385,12.9,"1982-01-01","USA"
"plymouth champ",39.0,4,86.0,64,1875,16.4,"1982-01-01","USA"
"plymouth horizon 4",34.7,4,105.0,63,2215,14.9,"1982-01-01","USA"
"ford escort 4w",34.4,4,98.0,65,2045,16.2,"1982-01-01","USA"
"ford escort 2h",29.9,4,98.0,65,2380,20.7,"1982-01-01","USA"
"buick century",22.4,6,231.0,110,3415,15.8,"1982-01-01","USA"
"oldsmobile cutlass ls",26.6,8,350.0,105,3725,19.0,"1982-01-01","USA"
"ford granada gl",20.2,6,200.0,88,3060,17.1,"1982-01-01","USA"
"chrysler lebaron salon",17.6,6,225.0,85,3465,16.6,"1982-01-01","USA"
"chevrolet cavalier",28.0,4,112.0,88,2605,19.6,"1982-01-01","USA"
"chevrolet cavalier wagon",27.0,4,112.0,88,2640,18.6,"1982-01-01","USA"
"chevrolet cavalier 2-door",34.0,4,112.0,88,2395,18.0,"1982-01-01","USA"
"pontiac j2000 se hatchback",31.0,4,112.0,85,2575,16.2,"1982-01-01","USA"
"dodge aries se",29.0,4,135.0,84,2525,16.0,"1982-01-01","USA"
"pontiac phoenix",27.0,4,151.0,90,2735,18.0,"1982-01-01","USA"
"ford fairmont futura",24.0,4,140.0,92,2865,16.4,"1982-01-01","USA"
"amc concord dl",23.0,4,151.0,NA,3035,20.5,"1982-01-01","USA"
"plymouth horizon miser",38.0,4,105.0,63,2125,14.7,"1982-01-01","USA"
"mercury lynx l",36.0,4,98.0,70,2125,17.3,"1982-01-01","USA"
"buick century limited",25.0,6,181.0,110,2945,16.4,"1982-01-01","USA"
"oldsmobile cutlass ciera (diesel)",38.0,6,262.0,85,3015,17.0,"1982-01-01","USA"
"chrysler lebaron medallion",26.0,4,156.0,92,2585,14.5,"1982-01-01","USA"
"ford granada l",22.0,6,232.0,112,2835,14.7,"1982-01-01","USA"
"dodge charger 2.2",36.0,4,135.0,84,2370,13.0,"1982-01-01","USA"
"chevrolet camaro",27.0,4,151.0,90,2950,17.3,"1982-01-01","USA"
"ford mustang gl",27.0,4,140.0,86,2790,15.6,"1982-01-01","USA"
"dodge rampage",32.0,4,135.0,84,2295,11.6,"1982-01-01","USA"
"ford ranger",28.0,4,120.0,79,2625,18.6,"1982-01-01","USA"
"chevy s-10",31.0,4,119.0,82,2720,19.4,"1982-01-01","USA"
